iter	Passed	Remaining
1099	64214	52539
1100	64286	52492
1101	64368	52453
1102	64445	52409
1103	64518	52363
1104	64581	52308
1105	64659	52265
1106	64729	52216
1107	64789	52159
1108	64845	52098
1109	64917	52050
1110	64979	51995
1111	65050	51946
1112	65123	51900
1113	65179	51839
1114	65248	51789
1115	65306	51730
1116	65379	51683
1117	65462	51644
1118	65524	51588
1119	65582	51528
1120	65641	51471
1121	65726	51432
1122	65780	51370
1123	65840	51313
1124	65928	51277
1125	65997	51226
1126	66070	51179
1127	66148	51136
1128	66209	51078
1129	66266	51019
1130	66333	50967
1131	66413	50925
1132	66496	50884
1133	66556	50827
1134	66631	50781
1135	66689	50721
1136	66760	50672
1137	66822	50616
1138	66897	50569
1139	66969	50520
1140	67032	50465
1141	67104	50416
1142	67178	50369
1143	67236	50310
1144	67315	50266
1145	67369	50203
1146	67428	50145
1147	67491	50089
1148	67576	50050
1149	67634	49991
1150	67707	49942
1151	67765	49883
1152	67824	49824
1153	67897	49775
1154	67966	49724
1155	68043	49678
1156	68133	49642
1157	68215	49600
1158	68290	49553
1159	68358	49500
1160	68444	49461
1161	68527	49420
1162	68614	49381
1163	68701	49342
1164	68758	49282
1165	68843	49241
1166	68902	49182
1167	68959	49121
1168	69036	49075
1169	69098	49018
1170	69155	48957
1171	69213	48897
1172	69291	48852
1173	69349	48793
1174	69431	48749
1175	69499	48696
1176	69554	48634
1177	69630	48587
1178	69687	48526
1179	69745	48467
1180	69804	48407
1181	69870	48353
1182	69927	48293
1183	69999	48242
1184	70082	48200
1185	70152	48148
1186	70222	48096
1187	70278	48035
1188	70339	47977
1189	70396	47916
1190	70455	47857
1191	70518	47801
1192	70585	47747
1193	70651	47692
1194	70713	47635
1195	70774	47577
1196	70847	47527
1197	70905	47467
1198	70973	47414
1199	71038	47358
1200	71107	47306
1201	71175	47253
1202	71238	47196
1203	71306	47142
1204	71366	47084
1205	71423	47023
1206	71485	46966
1207	71543	46905
1208	71602	46846
1209	71659	46786
1210	71730	46734
1211	71811	46689
1212	71871	46630
1213	71962	46591
1214	72041	46545
1215	72096	46483
1216	72154	46422
1217	72214	46364
1218	72288	46314
1219	72363	46265
1220	72425	46207
1221	72482	46146
1222	72545	46090
1223	72608	46032
1224	72663	45970
1225	72725	45912
1226	72805	45866
1227	72880	45817
1228	72952	45765
1229	73011	45706
1230	73082	45654
1231	73154	45602
1232	73225	45550
1233	73289	45493
1234	73371	45448
1235	73431	45389
1236	73502	45337
1237	73554	45273
1238	73631	45224
1239	73689	45164
1240	73765	45115
1241	73837	45063
1242	73918	45017
1243	73991	44965
1244	74068	44917
1245	74149	44870
1246	74239	44829
1247	74328	44787
1248	74409	44740
1249	74482	44689
1250	74535	44626
1251	74593	44565
1252	74652	44505
1253	74717	44449
1254	74779	44391
1255	74834	44328
1256	74899	44272
1257	74967	44217
1258	75029	44159
1259	75086	44098
1260	75143	44037
1261	75197	43974
1262	75266	43920
1263	75332	43864
1264	75393	43805
1265	75454	43746
1266	75513	43686
1267	75579	43630
1268	75638	43570
1269	75695	43509
1270	75771	43460
1271	75828	43398
1272	75921	43358
1273	75977	43296
1274	76053	43246
1275	76110	43184
1276	76179	43130
1277	76237	43069
1278	76299	43011
1279	76356	42950
1280	76411	42888
1281	76488	42838
1282	76562	42786
1283	76621	42726
1284	76679	42665
1285	76744	42609
1286	76812	42554
1287	76871	42494
1288	76942	42440
1289	76999	42379
1290	77063	42322
1291	77119	42260
1292	77179	42201
1293	77234	42138
1294	77293	42078
1295	77349	42017
1296	77412	41959
1297	77496	41912
1298	77555	41852
1299	77611	41790
1300	77674	41732
1301	77747	41680
1302	77798	41615
1303	77860	41557
1304	77924	41500
1305	77977	41436
1306	78055	41386
1307	78125	41332
1308	78180	41270
1309	78237	41208
1310	78317	41160
1311	78374	41098
1312	78434	41039
1313	78515	40990
1314	78585	40936
1315	78664	40886
1316	78726	40827
1317	78786	40767
1318	78848	40709
1319	78908	40649
1320	78964	40588
1321	79024	40528
1322	79086	40469
1323	79163	40418
1324	79222	40358
1325	79281	40298
1326	79337	40236
1327	79399	40178
1328	79466	40121
1329	79527	40062
1330	79582	40000
1331	79640	39939
1332	79713	39886
1333	79775	39827
1334	79831	39766
1335	79891	39706
1336	79948	39645
1337	80008	39585
1338	80065	39524
1339	80116	39460
1340	80176	39400
1341	80257	39351
1342	80309	39287
1343	80364	39225
1344	80422	39164
1345	80482	39105
1346	80559	39053
1347	80623	38996
1348	80678	38933
1349	80743	38876
1350	80803	38816
1351	80883	38766
1352	80955	38712
1353	81024	38657
1354	81101	38605
1355	81169	38549
1356	81226	38488
1357	81285	38427
1358	81347	38369
1359	81404	38308
1360	81466	38249
1361	81524	38188
1362	81580	38126
1363	81640	38066
1364	81700	38007
1365	81762	37948
1366	81818	37886
1367	81879	37827
1368	81936	37766
1369	81997	37707
1370	82059	37648
1371	82114	37585
1372	82184	37530
1373	82247	37472
1374	82319	37418
1375	82390	37363
1376	82445	37301
1377	82514	37245
1378	82576	37186
1379	82646	37131
1380	82721	37078
1381	82798	37025
1382	82858	36965
1383	82914	36904
1384	82999	36855
1385	83056	36793
1386	83124	36737
1387	83183	36677
1388	83244	36617
1389	83304	36558
1390	83361	36496
1391	83419	36435
1392	83485	36378
1393	83551	36321
1394	83609	36260
1395	83667	36200
1396	83719	36136
1397	83771	36073
1398	83828	36012
1399	83882	35949
1400	83939	35888
1401	84000	35829
1402	84068	35772
1403	84125	35711
1404	84188	35652
1405	84248	35593
1406	84307	35532
1407	84364	35471
1408	84426	35412
1409	84482	35350
1410	84544	35291
1411	84614	35235
1412	84678	35177
1413	84736	35117
1414	84794	35056
1415	84854	34996
1416	84944	34948
1417	85005	34889
1418	85077	34834
1419	85136	34774
1420	85225	34725
1421	85311	34676
1422	85370	34616
1423	85431	34556
1424	85506	34502
1425	85576	34446
1426	85651	34392
1427	85708	34331
1428	85771	34272
1429	85842	34217
1430	85908	34159
1431	85991	34108
1432	86055	34049
1433	86119	33991
1434	86198	33938
1435	86284	33888
1436	86344	33828
1437	86408	33770
1438	86465	33709
1439	86528	33650
1440	86588	33589
1441	86648	33529
1442	86717	33472
1443	86779	33413
1444	86851	33358
1445	86913	33298
1446	86974	33239
1447	87041	33181
1448	87104	33122
1449	87166	33063
1450	87230	33004
1451	87294	32945
1452	87353	32885
1453	87419	32827
1454	87478	32766
1455	87555	32713
1456	87616	32653
1457	87669	32590
1458	87725	32528
1459	87796	32472
1460	87857	32412
1461	87938	32360
1462	88029	32311
1463	88138	32269
1464	88226	32219
1465	88319	32170
1466	88410	32121
1467	88489	32068
1468	88569	32015
1469	88664	31967
1470	88753	31917
1471	88843	31867
1472	88959	31827
1473	89040	31774
1474	89122	31721
1475	89214	31672
1476	89304	31622
1477	89390	31570
